RT,Intensity
0.5841449,0.0
0.58958042,0.0
0.59504898,0.0
0.60048863,0.0
0.60596977,0.0
0.61141982,0.0
0.6168551,0.0
0.62230307,0.0
0.6277842,0.0
0.63322175,0.0
0.63870295,0.0
0.64412377,0.0
0.64958195,0.0
0.655032,0.0
0.66050895,0.0
0.66594862,0.0
0.67141722,0.0
0.67687145,0.0
0.68236924,0.0
0.6877776,0.0
0.6932254,0.0
0.69870048,0.0
0.70417117,0.0
0.70959412,0.0
0.71505024,0.0
0.72053157,0.0
0.7259606,0.0
0.73141485,0.0
0.73688965,0.0
0.74231673,0.0
0.74800213,0.0
0.7535708,0.0
0.75901039,0.0
0.76444573,0.0
0.76990823,0.0
0.77557488,0.0
0.78114144,0.0
0.78659565,0.0
0.79203513,0.0
0.79750395,0.0
0.80297045,0.0
0.80841843,0.0
0.81385995,0.0
0.8193267,0.0
0.8247849,0.0
0.83021827,0.0
0.8357119,0.0
0.84113278,0.0
0.84657432,0.0
0.85202229,0.0
0.85747215,0.0
0.86295137,0.0
0.86837415,0.0
0.87384507,0.0
0.87928448,0.0
0.88473455,0.0
0.89019693,0.0
0.89565742,0.0
0.90110933,0.0
0.9065386,0.0
0.912003,0.0
0.91744893,0.0
0.92291752,0.0
0.92835717,0.0
0.93372162,0.0
0.93810082,0.0
0.94368832,0.0
0.94934868,0.0
0.95482353,0.0
0.96026528,0.0
0.96572348,0.0
0.97118395,0.0
0.97664215,0.0
0.98102135,0.0
0.98540045,0.0
0.9931233,0.0
0.99879825,0.0
1.0042461,0.0
1.0098003,0.0
1.0151627,0.0
1.0206252,0.0
1.0260772,0.0
1.0315981,0.0
1.0369896,0.0
1.0424376,0.0
1.0478812,0.0
1.0533833,0.0
1.0588166,0.0
1.0642625,0.0
1.0696957,0.0
1.075177,0.0
1.0806018,0.0
1.0860852,0.0
1.0915184,0.0
1.0969831,0.0
1.1024121,0.0
1.107883,0.0
1.1133933,0.0
1.1188038,0.0
1.1242557,0.0
1.1296808,0.0
1.1351452,0.0
1.140587,0.0
1.1460826,0.0
1.1515097,0.0
1.1569701,0.0
1.1624409,0.0
1.1678824,0.0
1.1733096,0.0
1.1787636,0.0
1.184222,0.0
1.1897344,0.0
1.1951699,0.0
1.2006489,0.0
1.2060761,0.0
1.2115259,0.0
1.2169884,0.0
1.2224258,0.0
1.2279154,0.0
1.2333487,0.0
1.2390008,0.0
1.2445632,0.0
1.2502361,0.0
1.2558069,0.0
